City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Kavieng,PG,2022-10-12 21:07:05,-2.5744,150.7967,81.95,73,100,5.99
123,Itarema,BR,2022-10-12 21:08:28,-2.9248,-39.9167,79.39,75,71,16.71
124,Atuona,PF,2022-10-12 21:05:57,-9.8,-139.0333,77.14,79,67,20.67
125,Bourail,NC,2022-10-12 21:11:48,-21.5667,165.4833,73.69,74,23,11.88
126,Hilo,US,2022-10-12 21:05:49,19.7297,-155.09,92.28,67,20,8.05
127,Bengkulu,ID,2022-10-12 21:05:57,-3.8004,102.2655,74.17,91,100,1.34
128,Shingu,JP,2022-10-12 21:11:49,33.7333,135.9833,66.79,80,100,10.07
129,Swakopmund,NA,2022-10-12 21:11:49,-22.6833,14.5333,57.97,88,63,3.0
130,Cabo San Lucas,MX,2022-10-12 21:11:50,22.8909,-109.9124,92.61,54,0,6.91
131,Maragogi,BR,2022-10-12 21:11:50,-9.0122,-35.2225,75.83,82,89,10.83
132,Tombouctou,ML,2022-10-12 21:12:51,20.0,-3.0,90.93,11,11,7.96
133,Khatanga,RU,2022-10-12 21:05:46,71.9667,102.5,30.04,98,100,6.89
134,Acapulco,MX,2022-10-12 21:10:23,16.8634,-99.8901,84.02,74,100,11.5
135,Trinidad,BO,2022-10-12 21:12:52,-14.8333,-64.9,78.57,81,61,5.03
136,Avera,US,2022-10-12 21:12:53,33.194,-82.5271,76.91,81,100,4.45
137,Mihail Kogalniceanu,RO,2022-10-12 21:12:53,44.3667,28.45,54.28,76,0,0.0
138,Yulara,AU,2022-10-12 21:12:54,-25.2406,130.9889,52.65,67,100,18.95
139,Toora-Khem,RU,2022-10-12 21:12:54,52.4675,96.11,39.78,65,100,5.03
140,Muisne,EC,2022-10-12 21:12:55,0.6,-80.0333,74.84,80,100,13.42
141,Henties Bay,NA,2022-10-12 21:09:11,-22.116,14.2845,58.69,91,80,9.24
142,Coruripe,BR,2022-10-12 21:08:09,-10.1256,-36.1756,75.56,77,50,10.6
143,Eregli,TR,2022-10-12 21:12:56,37.5133,34.0467,60.39,43,98,1.16
144,Necochea,AR,2022-10-12 21:12:56,-38.5473,-58.7368,58.57,57,43,6.4
145,Tefe,BR,2022-10-12 21:12:57,-3.3542,-64.7114,86.11,70,40,2.3
146,Ilulissat,GL,2022-10-12 21:12:58,69.2167,-51.1,28.42,74,75,0.0
147,Huicheng,CN,2022-10-12 21:12:58,23.0385,116.2899,67.32,72,33,9.22
148,Shalya,RU,2022-10-12 21:04:30,57.2471,58.7298,43.61,75,100,6.58
149,Geraldton,AU,2022-10-12 21:07:17,-28.7667,114.6,41.41,87,0,2.3
150,Correntina,BR,2022-10-12 21:12:59,-13.3433,-44.6367,84.09,24,2,4.76
151,Panaba,MX,2022-10-12 21:13:00,21.2833,-88.2667,87.75,58,89,4.68
152,Puerto Escondido,MX,2022-10-12 21:11:36,15.85,-97.0667,85.03,58,75,11.5
153,Kutum,SD,2022-10-12 21:09:07,14.2,24.6667,79.84,25,81,14.81
154,Sucua,EC,2022-10-12 21:13:00,-2.4667,-78.1667,79.54,73,75,2.3
155,Kirillov,RU,2022-10-12 21:13:01,59.863,38.3813,41.99,84,97,4.94
156,Jesi,IT,2022-10-12 21:13:01,43.5288,13.2402,66.06,93,75,2.3
157,Kyzyl-Suu,KG,2022-10-12 21:13:02,42.3414,78.0056,45.82,28,0,6.35
158,Yar-Sale,RU,2022-10-12 21:13:03,66.8333,70.8333,36.86,83,83,6.91
159,Kita,ML,2022-10-12 21:13:03,13.0349,-9.4895,79.65,59,38,1.79
160,Senador Jose Porfirio,BR,2022-10-12 21:11:17,-2.5908,-51.9542,83.41,64,66,3.85
161,Bay City,US,2022-10-12 21:09:02,43.5945,-83.8889,70.12,61,100,11.5
162,Viedma,AR,2022-10-12 21:04:29,-40.8135,-62.9967,53.69,52,98,24.14
163,Antigonish,CA,2022-10-12 21:13:04,45.6169,-61.9986,59.02,76,4,1.01
