Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Oussouye,SN,84.34,light rain,12.485,-16.5469,Auberge du Routard
251,San Angelo,US,60.6,light rain,31.4638,-100.437,"Motel 6 San Angelo, TX"
252,Aswan,EG,86.43,clear sky,24.0934,32.907,Nuba Nile
253,Hobyo,SO,78.57,light rain,5.3505,48.5268,Halane Hotel and Restaurent
255,Hirara,JP,75.99,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
256,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
257,Tura,IN,70.11,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
259,Le Pont-De-Claix,FR,69.66,scattered clouds,45.1244,5.7064,PoMo Hotel & Restaurant
261,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
262,San Cristobal,VE,84.25,overcast clouds,7.7669,-72.225,Pirineos
263,Termoli,IT,67.78,clear sky,41.9888,14.9895,Hotel Mistral
264,Brewster,US,63.82,overcast clouds,41.3973,-73.6171,Heidi's Inn
265,Otradnoye,RU,50.09,broken clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
266,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
267,Guerrero Negro,MX,73.65,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
269,Nampula,MZ,77.45,broken clouds,-15.1165,39.2666,Ruby Backpackers
271,La Guacamaya,HN,75.76,overcast clouds,15.25,-87.8,
272,Bengkulu,ID,75.52,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
273,Sitka,US,53.49,overcast clouds,57.0531,-135.33,Westmark Sitka
274,Qingyuan,CN,78.78,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
276,High Level,CA,45.73,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
277,Mogadishu,SO,77.99,overcast clouds,2.0371,45.3438,Hotel Juba
278,Stornoway,GB,51.76,scattered clouds,58.2093,-6.3865,Caladh Inn
280,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
281,Kirkkonummi,FI,49.1,broken clouds,60.1238,24.4385,Karhukolo
282,Hirtshals,DK,57.09,overcast clouds,57.5881,9.9592,Montra Skaga Hotel
284,Tavares,US,88.11,broken clouds,28.8042,-81.7256,"Holiday Inn Express & Suites Tavares - Leesburg, an IHG Hotel"
285,Shingu,JP,64.49,light rain,33.7333,135.9833,Shingu UI Hotel
